"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CURRENT";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"RATING";"SPICEPREFIX";
"1";"";"115Q-BCA0";"115Q";"CON1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"1503-21";"150321";"CON2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"1N4148WS";"SOD323";"D2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"C-EUC0603";"C0603";"C5, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";
"2";"";"CAP-0402";"C0402K";"C9, C10";"";"";"";"";"";"";"";"";"";"0402";"";"6V";"";
"2";"";"CAP-POL-SMC";"SMC_C";"C6, C8";"";"";"";"";"";"";"";"";"";"SMC";"";"6V";"";
"1";"";"DCK-3R3E224U-E";"621";"BAT1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"";"ESD9B5.0ST5G";"SOD1006X40";"D1, D3, D4, D5, D6, D7, D8";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"IND-0402";"L0402";"L3, L4";"";"";"10mA";"";"";"";"";"";"";"0402";"";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MA04-2";"MA04-2";"SV1";"PIN HEADER";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"";"MA12-2";"MA12-2";"SV2";"PIN HEADER";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"3";"";"R-EU_R0402";"R0402";"L1, L2, R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";
"2";"0";"R-EU_R0402";"R0402";"R10, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";
"3";"0/dnp";"R-EU_R0402";"R0402";"R1, R2, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"10";"R-EU_R0402";"R0402";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";
"2";"100k";"R-EU_R0402";"R0402";"R7, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"10pF";"CAP-0402";"C0402K";"C23";"";"";"";"";"";"";"";"";"";"0402";"";"6V";"";
"2";"180";"R-EU_R0402";"R0402";"R3, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"1uF";"CAP-0402";"C0402K";"C13";"";"";"";"";"";"";"";"";"";"0402";"";"6V";"";
"2";"2N7002";"2N7002";"SOT95P240X110-3";"T1, T2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"33pF";"CAP-0402";"C0402K";"C11, C12, C20, C22, C24";"";"";"";"";"";"";"";"";"";"0402";"";"6V";"";
"1";"47k";"R-EU_R0402";"R0402";"R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"R";
"4";"8.2pF";"CAP-0402";"C0402K";"C1, C2, C3, C4";"";"";"";"";"";"";"";"";"";"0402";"";"6V";"";
"1";"G510";"G510";"G510";"U2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"U.FL-R-SMT(01)";"U.FL-R-SMT(01)";"HRS_U.FL-R-SMT(01)";"J1";"U.FL Series 6 Ghz 50 Ohm Ultra-small SMT Coaxial Cable Receptacle";"Unavailable";"";" U.FL Series 6 Ghz 50 Ohm Ultra-small SMT Coaxial Cable Receptacle ";"Hirose";"U.FL-R-SMT_01_";"";"";"";"None";"None";"";"";
"1";"ap22802";"AP22802";"SOT25";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";
